Age,Height
40,71
47,60
42,61
44,61
24,61
28,65
50,68
33,64
36,71
39,69
30,64
42,70
52,64
38,70
45,60
35,62
48,62
33,64
33,68
41,65
26,67
43,64
32,60
39,67
45,72
30,69
52,71
43,68
33,76
39,70
31,68
43,64
44,65
54,62
67,69
27,68
57,56
19,63
29,64
26,67
38,66
27,62
33,67
39,61
37,69
46,64
44,73
56,64
56,78
48,69
46,67
60,62
33,70
38,64
45,64
37,71
38,66
68,66
67,71
37,64
47,58
29,64
37,63
31,63
45,61
34,63
44,57
38,70
40,72
26,64
30,62
33,68
58,61
28,65
29,68
41,66
56,70
48,72
35,63
39,68
57,71
43,64
52,61
45,63
28,65
35,62
45,62
42,73
22,61
29,70
33,68
21,65
59,71
31,74
30,68
33,69
35,62
31,69
44,62
26,67
43,66
28,67
48,68
29,70
41,74
34,72
53,64
41,67
58,66
31,67
52,66
37,61
20,68
28,69
47,64
47,65
41,66
35,64
35,64
39,65
42,66
47,66
22,67
39,68
30,63
24,72
38,70
39,68
45,61
38,66
52,62
62,69
40,65
43,64
27,69
69,61
47,67
27,65
29,67
57,74
53,75
52,64
64,65
49,68
30,65
49,65
43,63
38,66
26,67
26,67
44,60
48,71
20,69
32,74
44,67
58,72
38,67
50,64
42,63
31,73
39,68
21,67
34,69
32,66
41,66
55,63
27,54
31,69
33,71
48,68
35,65
32,65
34,69
32,68
39,65
28,62
37,63
49,69
36,66
41,63
37,69
33,74
18,68
39,69
37,68
35,73
47,71
34,65
41,71
44,65
55,69
52,60
45,71
30,64
36,63
64,73
33,68
20,65
47,64
44,66
47,68
44,69
33,68
55,66
36,62
47,65
44,67
25,72
31,64
30,64
36,65
25,62
56,69
45,55
56,66
44,74
48,65
50,68
25,65
38,64
47,68
37,59
56,75
44,65
23,59
59,66
42,65
38,62
44,64
38,67
38,62
51,68
59,60
43,66
48,65
33,65
42,68
52,70
61,64
33,69
44,69
42,73
46,70
35,71
34,64
59,68
26,61
51,70
39,71
22,67
33,64
32,73
34,66
56,66
30,72
46,74
32,69
27,63
44,75
24,63
38,64
35,67
43,64
27,70
36,65
45,62
34,57
33,64
55,68
43,62
33,67
39,68
38,67
39,71
40,66
32,67
43,64
35,65
37,69
31,65
33,62
39,65
37,64
40,64
45,64
53,69
59,81
28,62
30,67
62,69
18,66
53,64
55,65
41,73
52,67
34,62
36,74
40,61
37,68
36,62
52,67
43,66
16,68
45,71
44,65
39,70
32,67
40,61
32,75
34,64
49,76
31,71
65,68
29,70
42,64
39,63
20,66
39,66
55,68
44,67
44,71
39,59
39,69
44,70
21,67
35,64
35,64
42,66
39,74
35,65
38,66
33,64
42,64
33,68
44,72
48,66
39,69
52,66
60,66
44,68
68,64
46,66
47,65
45,69
54,70
52,74
35,63
40,63
50,73
35,65
32,65
49,67
38,55
43,66
37,64
44,66
62,68
37,63
27,59
34,63
25,72
25,66
30,62
28,64
58,71
34,71
31,59
34,68
40,66
49,69
60,65
31,63
35,66
53,70
32,67
31,62
46,67
29,63
34,75
25,67
64,68
30,55
35,66
31,65
31,66
45,63
31,64
22,64
66,71
41,68
56,70
43,63
41,66
46,65
44,66
37,68
42,67
35,67
25,66
39,61
44,66
22,69
39,64
50,60
56,64
28,64
33,59
46,65
49,55
27,60
40,60
50,70
35,63
36,68
28,65
33,71
51,65
31,62
50,69
57,67
39,68
37,66
49,55
48,67
38,68
45,63
19,67
17,65
53,66
42,68
33,69
33,70
35,66
32,71
57,72
35,67
46,63
38,60
26,68
32,61
34,71
49,63
35,65
70,64
52,66
41,65
31,62
35,65
56,71
21,64
35,70
38,69
34,60
25,67
46,67
49,74
38,75
30,66
57,70
32,70
50,67
31,60
39,65
37,65
26,66
35,69
38,58
44,63
41,66
52,66
47,72
34,70
40,57
36,58
25,56
36,67
59,67
36,66
15,59
19,74
45,62
34,66
38,65
29,67
20,75
42,70
43,69
33,64
55,70
54,65
53,71
47,64
38,71
32,64
35,69
37,58
36,67
29,66
37,74
21,70
28,69
38,56
47,73
30,62
38,67
45,66
35,61
46,75
40,73
32,61
16,72
29,76
36,71
36,71
29,65
40,69
36,60
35,65
36,67
34,71
46,63
29,69
40,67
25,66
21,65
35,69
60,61
46,65
42,66
44,67
50,66
48,64
59,66
31,67
50,77
44,69
36,66
25,69
42,67
41,69
40,67
51,60
60,72
40,66
35,64
42,70
22,66
19,63
48,67
29,66
58,77
37,63
23,69
36,69
38,65
36,64
28,63
35,68
52,64
39,62
44,64
32,63
32,66
43,67
31,70
34,68
40,67
41,66
30,68
31,68
34,62
47,69
67,66
40,70
36,60
40,64
62,63
67,60
63,69
38,69
44,70
30,68
30,58
42,66
40,70
31,69
62,70
50,64
37,67
59,68
35,65
51,72
26,71
46,67
37,63
23,64
28,67
46,63
22,66
24,70
51,63
23,66
30,66
44,76
56,70
36,63
35,67
66,70
35,69
53,68
49,64
28,62
37,67
24,69
37,69
35,65
31,69
43,66
56,66
49,66
37,64
47,67
17,63
46,67
41,64
48,61
39,66
57,70
58,72
26,62
29,61
48,69
35,64
46,67
37,69
50,61
56,59
40,66
33,65
46,61
55,67
45,66
56,61
35,65
31,66
26,63
39,66
34,66
38,62
47,74
36,64
41,61
40,64
15,68
54,67
35,66
53,65
48,69
26,68
32,66
41,69
27,62
33,65
37,65
23,62
49,66
40,58
19,68
32,72
27,62
33,64
24,66
35,59
36,67
29,64
41,61
27,69
31,67
36,60
35,62
27,65
33,59
61,66
60,69
35,68
37,65
48,69
42,67
31,64
48,62
24,70
37,66
28,67
35,62
27,71
28,65
34,64
43,59
28,67
49,72
44,65
30,66
45,70
52,66
30,67
42,63
51,71
26,69
48,74
41,63
18,62
54,68
41,66
30,67
36,69
35,69
34,71
27,71
31,69
55,70
31,67
52,72
32,68
23,70
53,68
37,69
34,67
40,72
24,67
42,67
26,59
40,69
61,63
25,71
41,71
37,65
26,62
61,70
35,65
17,68
28,63
26,66
28,69
44,65
44,63
30,68
61,73
60,66
46,63
32,68
42,66
39,66
51,68
43,66
55,68
36,59
50,64
61,75
39,67
45,64
39,66
53,73
24,67
37,61
44,64
55,66
59,69
34,66
29,70
47,69
31,71
38,68
47,62
27,63
37,60
29,65
39,63
59,66
42,72
27,72
48,62
52,64
33,69
43,68
47,64
22,58
36,64
47,63
42,66
32,65
50,69
45,67
57,69
38,67
44,60
32,71
48,68
51,61
46,71
35,68
54,68
58,68
30,71
44,62
50,61
29,65
29,67
29,62
44,71
30,69
26,58
32,69
51,67
35,64
29,67
64,64
40,64
42,67
39,61
31,62
30,67
50,70
32,66
40,66
28,62
45,66
40,62
34,68
45,73
36,76
43,71
42,71
39,63
24,68
23,66
63,63
36,65
35,64
43,65
50,68
27,71
46,64
55,68
33,69
34,73
64,70
34,65
46,69
35,72
37,66
44,59
37,63
38,72
31,63
54,63
28,67
21,66
43,66
26,60
35,70
37,64
39,67
52,67
38,71
48,67
38,66
35,63
39,61
39,66
33,62
40,67
40,66
60,68
48,69
38,57
47,62
33,67
45,66
22,70
52,74
44,61
42,64
43,66
33,66
46,70
45,66
24,72
47,70
42,66
27,68
42,68
48,74
39,66
35,69
51,57
24,66
40,62
35,64
35,60
25,64
32,71
32,67
61,65
33,69
30,63
30,59
45,63
29,66
42,67
36,66
46,67
41,59
49,64
46,71
36,65
35,65
42,66
35,66
24,71
38,64
63,69
36,53
27,68
39,64
41,62
33,64
41,61
45,64
36,63
47,69
23,65
30,59
49,70
45,61
46,68
24,74
26,73
33,68
31,66
25,68
55,63
40,70
41,70
31,66
52,65
60,62
44,59
44,67
59,71
45,66
59,70
28,71
63,68
47,59
64,68
61,68
29,60
38,63
60,66
31,63
42,60
33,63
33,64
26,73
35,65
42,62
23,67
60,53
51,72
26,66
35,56
40,64
38,71
26,67
47,67
55,68
34,64
33,67
48,73
70,75
21,64
45,71
48,74
35,63
42,67
51,60
51,64
22,70
42,69
28,59
49,68
37,64
24,60
38,69
44,67
40,62
45,68
34,66
28,64
30,66
28,59
28,62
57,64
36,65
25,67
28,64
57,69
31,67
64,68
44,65
40,68
27,65
55,66
59,73
41,62
32,69
23,63
39,66
45,66
25,71
45,63
35,62
28,67
46,75
24,62
32,61
55,69
48,59
55,66
25,68
37,66
22,62
23,67
26,60
47,67
43,62
24,66
46,66
35,71
59,62
38,63
54,65
50,70
41,72
21,60
37,70
37,64
49,69
30,65
59,69
33,64
42,68
27,59
36,61
50,64
19,67
36,61
31,64
37,65
31,66
38,70
56,69
62,66
25,63
58,70
30,69
34,66
48,60
45,65
30,60
48,61
28,65
27,61
36,63
42,67
42,59
34,67
40,69
32,70
26,68
36,64
45,62
26,59
52,64
62,61
31,66
39,68
36,68
39,66
30,62
55,61
28,65
41,66
42,74
54,70
37,70
47,61
22,73
28,71
52,69
34,68
44,69
26,69
43,62
47,66
23,63
28,63
59,72
21,65
41,65
54,69
33,69
52,71
49,69
43,63
26,64
53,69
47,65
41,64
35,62
45,66
38,69
33,60
43,67
39,70
36,64
35,71
43,65
47,63
31,72
31,70
52,65
46,66
46,72
37,65
47,69
42,68
39,63
42,66
27,67
32,67
41,62
35,68
27,68
45,74
62,68
68,69
49,66
49,57
61,69
23,70
24,69
41,64
51,58
28,65
33,69
39,69
44,65
43,66
22,67
27,68
48,66
37,66
25,63
29,64
33,71
27,63
56,64
38,69
54,66
29,60
41,64
36,70
31,63
35,72
42,62
31,66
25,74
36,64
33,68
44,66
23,64
43,67
31,67
35,69
64,73
64,71
32,64
30,68
44,68
28,63
54,65
33,63
51,64
38,64
34,74
34,64
28,65
58,65
36,61
58,66
38,62
28,63
58,64
31,65
34,64
39,68
53,65
32,72
18,65
15,66
29,58
35,73
40,70
40,67
31,65
34,70
43,69
50,65
52,71
34,64
41,67
24,68
31,66
41,62
61,74
30,62
49,70
42,67
29,70
44,63
54,66
54,73
58,73
33,67
39,70
41,63
47,59
43,66
25,61
25,66
58,60
39,69
37,73
32,63
38,67
40,71
48,66
35,72
34,62
64,69
32,74
33,60
37,65
53,73
45,64
33,69
46,65
33,59
46,67
42,64
40,63
37,68
37,66
23,63
34,65
47,62
55,68
64,67
29,65
61,74
25,67
52,67
29,64
45,68
52,69
38,63
52,77
41,67
45,64
33,66
46,69
43,74
33,65
34,68
38,72
31,68
44,70
46,62
31,59
63,66
44,69
44,61
26,65
40,60
42,63
29,62
26,63
33,70
56,69
32,56
24,64
53,69
32,67
38,70
37,69
42,61
32,68
29,78
47,72
41,63
41,65
47,63
41,63
37,64
37,67
27,66
39,62
60,62
43,67
62,66
37,63
48,67
47,63
30,63
32,72
29,64
39,64
35,65
32,69
53,64
48,60
36,66
35,63
33,68
30,66
62,70
55,63
25,65
40,75
24,68
61,74
51,67
25,70
46,67
32,67
43,69
34,61
42,67
44,66
38,67
49,67
27,69
36,64
41,65
32,70
45,63
46,67
58,59
27,68
49,69
19,59
62,71
36,67
26,64
32,68
56,70
34,61
31,65
38,64
35,60
38,69
42,61
36,68
37,62
33,64
32,67
50,71
48,73
37,64
51,55
57,69
50,69
41,66
32,63
36,65
37,68
27,66
37,69
50,68
55,65
39,66
41,60
30,58
42,64
40,67
41,65
36,68
37,70
39,69
54,67
39,66
51,65
51,68
30,67
37,64
46,71
49,70
23,66
31,64
41,66
30,60
34,66
44,65
56,67
33,75
63,65
26,60
21,70
35,68
50,67
37,69
48,68
40,66
28,67
37,63
47,69
40,68
24,71
43,65
40,60
37,61
38,61
41,62
41,69
46,74
28,68
53,71
67,73
45,61
24,63
49,61
42,65
52,66
30,64
35,72
35,69
57,67
38,74
40,68
33,66
26,60
67,68
37,65
33,63
41,66
69,65
32,66
50,60
41,70
47,67
37,65
51,63
68,71
28,62
28,69
22,66
58,68
55,63
23,69
36,66
59,67
66,73
54,64
28,68
39,65
35,64
63,66
25,66
39,66
39,73
27,65
62,67
36,63
28,59
28,67
50,72
